cycle,add_internal_valid,cancel_internal_valid,add_order_ref,add_shares,add_price,add_side,cancel_order_ref,cancel_shares,delete_internal_valid,delete_order_ref,replace_internal_valid,replace_orig_order_ref,replace_new_order_ref,replace_shares,replace_price
4.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
5.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1100000000000000,0x0,0x0,0x0
6.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122000000000000,0x0,0x0,0x0
7.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122330000000000,0x0,0x0,0x0
8.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334400000000,0x0,0x0,0x0
9.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455000000,0x0,0x0,0x0
10.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455660000,0x0,0x0,0x0
11.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667700,0x0,0x0,0x0
12.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x0,0x0,0x0
13.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x9900000000000000,0x0,0x0
14.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aa000000000000,0x0,0x0
15.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabb0000000000,0x0,0x0
16.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbcc00000000,0x0,0x0
17.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccdd000000,0x0,0x0
18.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddee0000,0x0,0x0
19.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x0,0x0
20.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x0,0x0
21.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x0,0x0
22.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x0,0x0
23.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x100,0x0
24.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x0
25.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x0
26.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x0
27.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x2700
28.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x2710
29.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x2710
30.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,1,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x2710
31.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
32.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
33.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
34.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
35.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
36.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
37.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
38.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
39.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1100000000000000,0x0,0x0,0x0
40.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122000000000000,0x0,0x0,0x0
41.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122330000000000,0x0,0x0,0x0
42.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334400000000,0x0,0x0,0x0
43.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455000000,0x0,0x0,0x0
44.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455660000,0x0,0x0,0x0
45.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667700,0x0,0x0,0x0
46.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x0,0x0,0x0
47.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x9900000000000000,0x0,0x0
48.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aa000000000000,0x0,0x0
49.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabb0000000000,0x0,0x0
50.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbcc00000000,0x0,0x0
51.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccdd000000,0x0,0x0
52.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddee0000,0x0,0x0
53.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x0,0x0
54.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x0,0x0
55.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x0,0x0
56.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x0,0x0
57.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x100,0x0
58.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x0
59.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x0
60.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x0
61.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x2700
62.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x2710
63.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x2710
64.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,1,0x1122334455667788,0x99aabbccddeeff00,0x12c,0x2710
65.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
66.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
67.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
68.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x5500000000000000,0,0x0,0x0,0x0,0x0
69.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x5566000000000000,0,0x0,0x0,0x0,0x0
70.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x5566770000000000,0,0x0,0x0,0x0,0x0
71.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x5566778800000000,0,0x0,0x0,0x0,0x0
72.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x5566778899000000,0,0x0,0x0,0x0,0x0
73.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x5566778899aa0000,0,0x0,0x0,0x0,0x0
74.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x5566778899aabb00,0,0x0,0x0,0x0,0x0
75.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x5566778899aabbcc,0,0x0,0x0,0x0,0x0
76.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
77.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
78.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
79.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
80.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
81.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
82.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
83.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
84.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
85.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
86.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
87.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
88.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
89.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x1200000000000000,0,0x0,0x0,0x0,0x0
90.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x1234000000000000,0,0x0,0x0,0x0,0x0
91.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x1234560000000000,0,0x0,0x0,0x0,0x0
92.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x1234567800000000,0,0x0,0x0,0x0,0x0
93.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x123456789a000000,0,0x0,0x0,0x0,0x0
94.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x123456789abc0000,0,0x0,0x0,0x0,0x0
95.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x123456789abcde00,0,0x0,0x0,0x0,0x0
96.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x123456789abcdef0,0,0x0,0x0,0x0,0x0
97.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
98.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
99.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
100.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
101.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
102.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
103.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
104.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
105.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
106.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
107.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
108.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
109.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
110.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
111.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
112.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
113.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
114.0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,0,0x0,0x0,0x0,0x0
